Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Quantity (bin),Region,Row ID,Ship Date,Ship Mode,State,Sub-Category,Profit,Quantity,Sales,Sales Agent ID
Furniture,Henderson,United States,CG-12520,Claire Gute,08-11-2018,CA-152156-2018_11_08,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,2,South,1,11-11-2018,Second Class,Kentucky,Bookcases,78.588,2,261.96,16
Furniture,Henderson,United States,CG-12520,Claire Gute,08-11-2018,CA-152156-2018_11_08,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2,South,2,11-11-2018,Second Class,Kentucky,Chairs,219.582,3,731.94,16
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,12-06-2018,CA-138688-2018_06_12,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,2,West,3,16-06-2018,Second Class,California,Labels,4.386,2,14.62,4
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11-10-2017,US-108966-2017_10_11,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,4,South,4,18-10-2017,Standard Class,Florida,Tables,287.27325,5,957.5775,9
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,11-10-2017,US-108966-2017_10_11,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,2,South,5,18-10-2017,Standard Class,Florida,Storage,6.7104,2,22.368,9
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2016,CA-115812-2016_06_09,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6,West,6,14-06-2016,Standard Class,California,Furnishings,14.658,7,48.86,4
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2016,CA-115812-2016_06_09,90032,OFF-AR-10002833,Newell 322,4,West,7,14-06-2016,Standard Class,California,Art,2.184,4,7.28,4
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2016,CA-115812-2016_06_09,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,6,West,8,14-06-2016,Standard Class,California,Phones,272.1456,6,907.152,4
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2016,CA-115812-2016_06_09,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,2,West,9,14-06-2016,Standard Class,California,Binders,5.5512,3,18.504,4
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2016,CA-115812-2016_06_09,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,4,West,10,14-06-2016,Standard Class,California,Appliances,34.47,5,114.9,4
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2016,CA-115812-2016_06_09,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,8,West,11,14-06-2016,Standard Class,California,Tables,511.8552,9,1706.184,4
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,09-06-2016,CA-115812-2016_06_09,90032,TEC-PH-10002033,Konftel 250 ConferenceÊphoneÊ- Charcoal black,4,West,12,14-06-2016,Standard Class,California,Phones,273.4272,4,911.424,4
Office Supplies,Concord,United States,AA-10480,Andrew Allen,15-04-2019,CA-114412-2019_04_15,28027,OFF-PA-10002365,Xerox 1967,2,South,13,20-04-2019,Standard Class,North Carolina,Paper,4.6656,3,15.552,32
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,05-12-2018,CA-161389-2018_12_05,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,2,West,14,10-12-2018,Standard Class,Washington,Binders,122.3928,3,407.976,46
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22-11-2017,US-118983-2017_11_22,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",4,Central,15,26-11-2017,Standard Class,Texas,Appliances,20.643,5,68.81,42
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,22-11-2017,US-118983-2017_11_22,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,2,Central,16,26-11-2017,Standard Class,Texas,Binders,0.7632,3,2.544,42
